Header Size:  7
Version:  2
Sampling Interval:  0.005
Sampling Rate:  200
Sample Count:  32600
Device Serial Number:  0
Sample Number, Date/Time, CHANNEL0, CHANNEL1, Events
         1,   04/29/2022 11:56:20.699 AM, 0.0320, -2.9931, DAQ Start
         2,   04/29/2022 11:56:20.704 AM, 0.0320, -2.9934
         3,   04/29/2022 11:56:20.709 AM, 0.0290, -2.9934
         4,   04/29/2022 11:56:20.714 AM, 0.0290, -2.9934
         5,   04/29/2022 11:56:20.719 AM, 0.0290, -2.9934
         6,   04/29/2022 11:56:20.724 AM, 0.0259, -2.9934
         7,   04/29/2022 11:56:20.729 AM, 0.0290, -2.9931
         8,   04/29/2022 11:56:20.734 AM, 0.0290, -2.9934
         9,   04/29/2022 11:56:20.739 AM, 0.0290, -2.9934
        10,   04/29/2022 11:56:20.744 AM, 0.0320, -2.9934
        11,   04/29/2022 11:56:20.749 AM, 0.0320, -2.9931
        12,   04/29/2022 11:56:20.754 AM, 0.0259, -2.9934
        13,   04/29/2022 11:56:20.759 AM, 0.0290, -2.9934
        14,   04/29/2022 11:56:20.764 AM, 0.0290, -2.9934
        15,   04/29/2022 11:56:20.769 AM, 0.0290, -2.9931
        16,   04/29/2022 11:56:20.774 AM, 0.0290, -2.9934
        17,   04/29/2022 11:56:20.779 AM, 0.0290, -2.9934
        18,   04/29/2022 11:56:20.784 AM, 0.0290, -2.9931
        19,   04/29/2022 11:56:20.789 AM, 0.0320, -2.9934
        20,   04/29/2022 11:56:20.794 AM, 0.0290, -2.9934
        21,   04/29/2022 11:56:20.799 AM, 0.0290, -2.9931
        22,   04/29/2022 11:56:20.804 AM, 0.0320, -2.9934
        23,   04/29/2022 11:56:20.809 AM, 0.0259, -2.9931
        24,   04/29/2022 11:56:20.814 AM, 0.0320, -2.9934
        25,   04/29/2022 11:56:20.819 AM, 0.0290, -2.9931
        26,   04/29/2022 11:56:20.824 AM, 0.0290, -2.9931
        27,   04/29/2022 11:56:20.829 AM, 0.0290, -2.9934
        28,   04/29/2022 11:56:20.834 AM, 0.0320, -2.9934
        29,   04/29/2022 11:56:20.839 AM, 0.0290, -2.9934
        30,   04/29/2022 11:56:20.844 AM, 0.0259, -2.9934
        31,   04/29/2022 11:56:20.849 AM, 0.0290, -2.9934
        32,   04/29/2022 11:56:20.854 AM, 0.0290, -2.9931
        33,   04/29/2022 11:56:20.859 AM, 0.0290, -2.9934
        34,   04/29/2022 11:56:20.864 AM, 0.0320, -2.9934
        35,   04/29/2022 11:56:20.869 AM, 0.0320, -2.9934
        36,   04/29/2022 11:56:20.874 AM, 0.0290, -2.9931
        37,   04/29/2022 11:56:20.879 AM, 0.0290, -2.9931
        38,   04/29/2022 11:56:20.884 AM, 0.0290, -2.9931
        39,   04/29/2022 11:56:20.889 AM, 0.0320, -2.9931
        40,   04/29/2022 11:56:20.894 AM, 0.0290, -2.9934
        41,   04/29/2022 11:56:20.899 AM, 0.0320, -2.9931
        42,   04/29/2022 11:56:20.904 AM, 0.0290, -2.9934
        43,   04/29/2022 11:56:20.909 AM, 0.0320, -2.9931
        44,   04/29/2022 11:56:20.914 AM, 0.0290, -2.9934
        45,   04/29/2022 11:56:20.919 AM, 0.0290, -2.9934
        46,   04/29/2022 11:56:20.924 AM, 0.0259, -2.9934
        47,   04/29/2022 11:56:20.929 AM, 0.0290, -2.9934
        48,   04/29/2022 11:56:20.934 AM, 0.0290, -2.9934
        49,   04/29/2022 11:56:20.939 AM, 0.0290, -2.9934
        50,   04/29/2022 11:56:20.944 AM, 0.0320, -2.9934
        51,   04/29/2022 11:56:20.949 AM, 0.0320, -2.9931
        52,   04/29/2022 11:56:20.954 AM, 0.0290, -2.9931
        53,   04/29/2022 11:56:20.959 AM, 0.0290, -2.9934
        54,   04/29/2022 11:56:20.964 AM, 0.0259, -2.9934
        55,   04/29/2022 11:56:20.969 AM, 0.0290, -2.9931
        56,   04/29/2022 11:56:20.974 AM, 0.0290, -2.9931
        57,   04/29/2022 11:56:20.979 AM, 0.0290, -2.9931
        58,   04/29/2022 11:56:20.984 AM, 0.0320, -2.9934
        59,   04/29/2022 11:56:20.989 AM, 0.0320, -2.9931
        60,   04/29/2022 11:56:20.994 AM, 0.0259, -2.9934
        61,   04/29/2022 11:56:20.999 AM, 0.0290, -2.9934
        62,   04/29/2022 11:56:21.004 AM, 0.0290, -2.9931
        63,   04/29/2022 11:56:21.009 AM, 0.0290, -2.9934
        64,   04/29/2022 11:56:21.014 AM, 0.0290, -2.9931
        65,   04/29/2022 11:56:21.019 AM, 0.0290, -2.9931
        66,   04/29/2022 11:56:21.024 AM, 0.0290, -2.9937
        67,   04/29/2022 11:56:21.029 AM, 0.0290, -2.9931
        68,   04/29/2022 11:56:21.034 AM, 0.0290, -2.9934
        69,   04/29/2022 11:56:21.039 AM, 0.0290, -2.9931
        70,   04/29/2022 11:56:21.044 AM, 0.0290, -2.9934
        71,   04/29/2022 11:56:21.049 AM, 0.0290, -2.9931
        72,   04/29/2022 11:56:21.054 AM, 0.0290, -2.9934
        73,   04/29/2022 11:56:21.059 AM, 0.0320, -2.9931
        74,   04/29/2022 11:56:21.064 AM, 0.0320, -2.9931
        75,   04/29/2022 11:56:21.069 AM, 0.0290, -2.9934
        76,   04/29/2022 11:56:21.074 AM, 0.0290, -2.9934
        77,   04/29/2022 11:56:21.079 AM, 0.0320, -2.9931
        78,   04/29/2022 11:56:21.084 AM, 0.0259, -2.9934
        79,   04/29/2022 11:56:21.089 AM, 0.0259, -2.9934
        80,   04/29/2022 11:56:21.094 AM, 0.0290, -2.9931
        81,   04/29/2022 11:56:21.099 AM, 0.0290, -2.9934
        82,   04/29/2022 11:56:21.104 AM, 0.0290, -2.9934
        83,   04/29/2022 11:56:21.109 AM, 0.0259, -2.9931
        84,   04/29/2022 11:56:21.114 AM, 0.0290, -2.9934
        85,   04/29/2022 11:56:21.119 AM, 0.0290, -2.9934
        86,   04/29/2022 11:56:21.124 AM, 0.0259, -2.9934
        87,   04/29/2022 11:56:21.129 AM, 0.0290, -2.9931
        88,   04/29/2022 11:56:21.134 AM, 0.0290, -2.9934
        89,   04/29/2022 11:56:21.139 AM, 0.0259, -2.9934
        90,   04/29/2022 11:56:21.144 AM, 0.0290, -2.9934
        91,   04/29/2022 11:56:21.149 AM, 0.0320, -2.9934
        92,   04/29/2022 11:56:21.154 AM, 0.0290, -2.9934
        93,   04/29/2022 11:56:21.159 AM, 0.0259, -2.9934
        94,   04/29/2022 11:56:21.164 AM, 0.0290, -2.9934
        95,   04/29/2022 11:56:21.169 AM, 0.0290, -2.9934
        96,   04/29/2022 11:56:21.174 AM, 0.0290, -2.9934
        97,   04/29/2022 11:56:21.179 AM, 0.0290, -2.9934
        98,   04/29/2022 11:56:21.184 AM, 0.0290, -2.9931
        99,   04/29/2022 11:56:21.189 AM, 0.0290, -2.9931
       100,   04/29/2022 11:56:21.194 AM, 0.0290, -2.9934
       101,   04/29/2022 11:56:21.199 AM, 0.0290, -2.9934
       102,   04/29/2022 11:56:21.204 AM, 0.0290, -2.9934
       103,   04/29/2022 11:56:21.209 AM, 0.0259, -2.9934
       104,   04/29/2022 11:56:21.214 AM, 0.0290, -2.9934
       105,   04/29/2022 11:56:21.219 AM, 0.0290, -2.9934
       106,   04/29/2022 11:56:21.224 AM, 0.0290, -2.9934
       107,   04/29/2022 11:56:21.229 AM, 0.0290, -2.9934
       108,   04/29/2022 11:56:21.234 AM, 0.0290, -2.9931
       109,   04/29/2022 11:56:21.239 AM, 0.0320, -2.9934
       110,   04/29/2022 11:56:21.244 AM, 0.0290, -2.9934
       111,   04/29/2022 11:56:21.249 AM, 0.0290, -2.9934
       112,   04/29/2022 11:56:21.254 AM, 0.0290, -2.9934
       113,   04/29/2022 11:56:21.259 AM, 0.0320, -2.9931
       114,   04/29/2022 11:56:21.264 AM, 0.0320, -2.9931
       115,   04/29/2022 11:56:21.269 AM, 0.0320, -2.9931
       116,   04/29/2022 11:56:21.274 AM, 0.0320, -2.9934
       117,   04/29/2022 11:56:21.279 AM, 0.0320, -2.9934
       118,   04/29/2022 11:56:21.284 AM, 0.0290, -2.9934
       119,   04/29/2022 11:56:21.289 AM, 0.0320, -2.9931
       120,   04/29/2022 11:56:21.294 AM, 0.0320, -2.9934
       121,   04/29/2022 11:56:21.299 AM, 0.0290, -2.9934
       122,   04/29/2022 11:56:21.304 AM, 0.0320, -2.9931
       123,   04/29/2022 11:56:21.309 AM, 0.0320, -2.9931
       124,   04/29/2022 11:56:21.314 AM, 0.0320, -2.9931
       125,   04/29/2022 11:56:21.319 AM, 0.0320, -2.9934
       126,   04/29/2022 11:56:21.324 AM, 0.0351, -2.9931
       127,   04/29/2022 11:56:21.329 AM, 0.0320, -2.9931
       128,   04/29/2022 11:56:21.334 AM, 0.0320, -2.9931
       129,   04/29/2022 11:56:21.339 AM, 0.0320, -2.9934
       130,   04/29/2022 11:56:21.344 AM, 0.0320, -2.9934
       131,   04/29/2022 11:56:21.349 AM, 0.0320, -2.9931
       132,   04/29/2022 11:56:21.354 AM, 0.0320, -2.9934
       133,   04/29/2022 11:56:21.359 AM, 0.0320, -2.9934
       134,   04/29/2022 11:56:21.364 AM, 0.0320, -2.9931
       135,   04/29/2022 11:56:21.369 AM, 0.0320, -2.9931
       136,   04/29/2022 11:56:21.374 AM, 0.0290, -2.9931
       137,   04/29/2022 11:56:21.379 AM, 0.0351, -2.9934
       138,   04/29/2022 11:56:21.384 AM, 0.0320, -2.9934
       139,   04/29/2022 11:56:21.389 AM, 0.0320, -2.9934
       140,   04/29/2022 11:56:21.394 AM, 0.0320, -2.9931
       141,   04/29/2022 11:56:21.399 AM, 0.0351, -2.9934
       142,   04/29/2022 11:56:21.404 AM, 0.0351, -2.9934
       143,   04/29/2022 11:56:21.409 AM, 0.0320, -2.9934
       144,   04/29/2022 11:56:21.414 AM, 0.0351, -2.9934
       145,   04/29/2022 11:56:21.419 AM, 0.0320, -2.9931
       146,   04/29/2022 11:56:21.424 AM, 0.0320, -2.9934
       147,   04/29/2022 11:56:21.429 AM, 0.0320, -2.9931
       148,   04/29/2022 11:56:21.434 AM, 0.0320, -2.9931
       149,   04/29/2022 11:56:21.439 AM, 0.0351, -2.9931
       150,   04/29/2022 11:56:21.444 AM, 0.0351, -2.9931
       151,   04/29/2022 11:56:21.449 AM, 0.0351, -2.9931
       152,   04/29/2022 11:56:21.454 AM, 0.0351, -2.9934
       153,   04/29/2022 11:56:21.459 AM, 0.0351, -2.9934
       154,   04/29/2022 11:56:21.464 AM, 0.0320, -2.9934
