Header Size:  7
Version:  2
Sampling Interval:  0.001
Sampling Rate:  1000
Sample Count:  39800
Device Serial Number:  0
Sample Number, Date/Time, CHANNEL0, CHANNEL1, Events
         1,   05/13/2022 05:04:23.839 PM, -2.9924, 0.0443, DAQ Start
         2,   05/13/2022 05:04:23.840 PM, -2.9924, 0.0443
         3,   05/13/2022 05:04:23.841 PM, -2.9924, 0.0443
         4,   05/13/2022 05:04:23.842 PM, -2.9924, 0.0443
         5,   05/13/2022 05:04:23.843 PM, -2.9924, 0.0443
         6,   05/13/2022 05:04:23.844 PM, -2.9924, 0.0443
         7,   05/13/2022 05:04:23.845 PM, -2.9924, 0.0473
         8,   05/13/2022 05:04:23.846 PM, -2.9928, 0.0443
         9,   05/13/2022 05:04:23.847 PM, -2.9928, 0.0443
        10,   05/13/2022 05:04:23.848 PM, -2.9924, 0.0443
        11,   05/13/2022 05:04:23.849 PM, -2.9924, 0.0443
        12,   05/13/2022 05:04:23.850 PM, -2.9924, 0.0473
        13,   05/13/2022 05:04:23.851 PM, -2.9928, 0.0443
        14,   05/13/2022 05:04:23.852 PM, -2.9924, 0.0443
        15,   05/13/2022 05:04:23.853 PM, -2.9921, 0.0412
        16,   05/13/2022 05:04:23.854 PM, -2.9924, 0.0412
        17,   05/13/2022 05:04:23.855 PM, -2.9924, 0.0443
        18,   05/13/2022 05:04:23.856 PM, -2.9924, 0.0473
        19,   05/13/2022 05:04:23.857 PM, -2.9924, 0.0443
        20,   05/13/2022 05:04:23.858 PM, -2.9924, 0.0443
        21,   05/13/2022 05:04:23.859 PM, -2.9924, 0.0443
        22,   05/13/2022 05:04:23.860 PM, -2.9924, 0.0443
        23,   05/13/2022 05:04:23.861 PM, -2.9924, 0.0443
        24,   05/13/2022 05:04:23.862 PM, -2.9924, 0.0443
        25,   05/13/2022 05:04:23.863 PM, -2.9924, 0.0443
        26,   05/13/2022 05:04:23.864 PM, -2.9924, 0.0443
        27,   05/13/2022 05:04:23.865 PM, -2.9924, 0.0443
        28,   05/13/2022 05:04:23.866 PM, -2.9924, 0.0443
        29,   05/13/2022 05:04:23.867 PM, -2.9924, 0.0443
        30,   05/13/2022 05:04:23.868 PM, -2.9924, 0.0443
        31,   05/13/2022 05:04:23.869 PM, -2.9928, 0.0443
