Header Size:  7
Version:  2
Sampling Interval:  0.001
Sampling Rate:  1000
Sample Count:  48000
Device Serial Number:  0
Sample Number, Date/Time, CHANNEL0, CHANNEL1, CHANNEL2, Events
         1,   05/25/2022 05:50:06.526 PM, 0.0044, 0.0076, 0.0021, DAQ Start
         2,   05/25/2022 05:50:06.527 PM, 0.0044, 0.0076, 0.0021
         3,   05/25/2022 05:50:06.528 PM, 0.0041, 0.0015, 0.0021
         4,   05/25/2022 05:50:06.529 PM, 0.0044, 0.0046, 0.0022
         5,   05/25/2022 05:50:06.530 PM, 0.0041, 0.0015, 0.0022
         6,   05/25/2022 05:50:06.531 PM, 0.0041, 0.0046, 0.0022
         7,   05/25/2022 05:50:06.532 PM, 0.0038, 0.0046, 0.0021
         8,   05/25/2022 05:50:06.533 PM, 0.0041, 0.0015, 0.0022
         9,   05/25/2022 05:50:06.534 PM, 0.0041, 0.0046, 0.0021
        10,   05/25/2022 05:50:06.535 PM, 0.0041, 0.0015, 0.0022
        11,   05/25/2022 05:50:06.536 PM, 0.0041, 0.0015, 0.0022
        12,   05/25/2022 05:50:06.537 PM, 0.0041, -0.0015, 0.0021
        13,   05/25/2022 05:50:06.538 PM, 0.0044, 0.0046, 0.0022
        14,   05/25/2022 05:50:06.539 PM, 0.0044, 0.0046, 0.0021
        15,   05/25/2022 05:50:06.540 PM, 0.0044, 0.0046, 0.0021
        16,   05/25/2022 05:50:06.541 PM, 0.0044, 0.0046, 0.0022
        17,   05/25/2022 05:50:06.542 PM, 0.0044, 0.0046, 0.0022
        18,   05/25/2022 05:50:06.543 PM, 0.0044, 0.0015, 0.0021
        19,   05/25/2022 05:50:06.544 PM, 0.0044, 0.0046, 0.0021
        20,   05/25/2022 05:50:06.545 PM, 0.0050, 0.0076, 0.0021
        21,   05/25/2022 05:50:06.546 PM, 0.0044, 0.0046, 0.0022
        22,   05/25/2022 05:50:06.547 PM, 0.0044, 0.0076, 0.0022
        23,   05/25/2022 05:50:06.548 PM, 0.0044, 0.0015, 0.0022
        24,   05/25/2022 05:50:06.549 PM, 0.0041, 0.0015, 0.0021
        25,   05/25/2022 05:50:06.550 PM, 0.0041, 0.0015, 0.0022
        26,   05/25/2022 05:50:06.551 PM, 0.0044, 0.0046, 0.0022
