Header Size:  7
Version:  2
Sampling Interval:  0.001
Sampling Rate:  1000
Sample Count:  51900
Device Serial Number:  0
Sample Number, Date/Time, CHANNEL0, CHANNEL1, CHANNEL2, Events
         1,   05/25/2022 05:48:06.092 PM, 0.0053, -0.0015, 0.0022, DAQ Start
         2,   05/25/2022 05:48:06.093 PM, 0.0053, -0.0015, 0.0021
         3,   05/25/2022 05:48:06.094 PM, 0.0050, -0.0015, 0.0021
         4,   05/25/2022 05:48:06.095 PM, 0.0044, -0.0046, 0.0022
         5,   05/25/2022 05:48:06.096 PM, 0.0050, -0.0046, 0.0022
         6,   05/25/2022 05:48:06.097 PM, 0.0041, -0.0137, 0.0021
         7,   05/25/2022 05:48:06.098 PM, 0.0050, -0.0046, 0.0022
         8,   05/25/2022 05:48:06.099 PM, 0.0044, -0.0046, 0.0022
         9,   05/25/2022 05:48:06.100 PM, 0.0050, -0.0046, 0.0021
        10,   05/25/2022 05:48:06.101 PM, 0.0050, -0.0107, 0.0021
        11,   05/25/2022 05:48:06.102 PM, 0.0050, -0.0046, 0.0022
        12,   05/25/2022 05:48:06.103 PM, 0.0050, -0.0107, 0.0021
        13,   05/25/2022 05:48:06.104 PM, 0.0050, -0.0046, 0.0021
        14,   05/25/2022 05:48:06.105 PM, 0.0053, -0.0015, 0.0021
        15,   05/25/2022 05:48:06.106 PM, 0.0050, -0.0046, 0.0021
        16,   05/25/2022 05:48:06.107 PM, 0.0053, -0.0015, 0.0021
        17,   05/25/2022 05:48:06.108 PM, 0.0050, -0.0015, 0.0021
        18,   05/25/2022 05:48:06.109 PM, 0.0050, -0.0015, 0.0021
        19,   05/25/2022 05:48:06.110 PM, 0.0053, -0.0046, 0.0022
        20,   05/25/2022 05:48:06.111 PM, 0.0050, -0.0046, 0.0022
        21,   05/25/2022 05:48:06.112 PM, 0.0053, -0.0046, 0.0021
        22,   05/25/2022 05:48:06.113 PM, 0.0056, 0.0015, 0.0022
        23,   05/25/2022 05:48:06.114 PM, 0.0044, -0.0046, 0.0022
        24,   05/25/2022 05:48:06.115 PM, 0.0044, -0.0107, 0.0021
        25,   05/25/2022 05:48:06.116 PM, 0.0050, -0.0046, 0.0022
        26,   05/25/2022 05:48:06.117 PM, 0.0044, -0.0046, 0.0022
